Generator,MSE,MAE,RMSE,MAPE,MSE_per_target,Accuracy,target
MAA-TSF-GRU,27117.948935801316,132.1942069498066,164.675283317811,5.002940301186558,[27117.948935801316],49.02,Corn.csv
MAA-TSF-LSTM,2004.1428764531204,34.397390511827325,44.767654355048805,1.3626987174099787,[2004.1428764531204],48.68,Corn.csv
MAA-TSF-Transformer,3031.384031566586,39.95009161962126,55.058006062393744,1.513108952963729,[3031.384031566586],49.93,Corn.csv
