Generator,MSE,MAE,RMSE,MAPE,MSE_per_target,Accuracy,target
MAA-TSF-GRU,18486.267252543596,106.9682828286868,135.96421313177817,4.0593108246664045,[18486.267252543596],48.68,Corn
MAA-TSF-LSTM,1411.7424665398532,29.422339362163758,37.57316151909303,1.183845844069757,[1411.7424665398532],48.68,Corn
MAA-TSF-Transformer,2378.6906391443226,36.466285109270565,48.77182218396523,1.4062237064570136,[2378.6906391443226],49.86,Corn
